Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,Score,No_of_Votes,Publish_Year,Pages
Seven Deadly Wonders ,Jack West Jr,Matthew Reilly,Action-Adventure,4.09,"28,352","1,363","2,825",30,"December 20, 2005",547
Ward D,,Freida McFadden ,Action-Adventure,4.05,"1,09,660","8,034","1,246",13,"May 8, 2023",288
Enemy Of My Enemy,,Travis Casey ,Action-Adventure,4.19,58,12,682,7,"February 26, 2016",
Fear and Loathing in Las Vegas,,Hunter S. Thompson,Action-Adventure,4.07,"3,44,774","8,994",204,3,"July 7, 1971",204
Bat Blood: The Devil's Claw,,Richard Myerscough ,Action-Adventure,3.76,50,8,294,3,"February 7, 2013",432
The Da Vinci Code ,Robert Langdon,Dan Brown ,Action-Adventure,3.91,"23,20,841","54,145","20,213",208,"March 18, 2003",489
Factotum,,Charles Bukowski,Action-Adventure,3.93,"68,931","2,565","1,224",14,"January 1, 1975",208
Nor the Years Condemn,,Justin Sheedy,Action-Adventure,4.38,39,10,188,2,"September 10, 2011",333
Orope - The White Snake ,Whisperers of the Gods,Guenevere Lee ,Action-Adventure,4.01,79,24,294,3,"March 6, 2018",286
Locked On ,Jack Ryan Universe #14; Jack Ryan Jr.,Tom Clancy,Action-Adventure,4.09,"15,614",788,203,3,"December 13, 2011",712
What She Found ,Tracy Crosswhite,Robert Dugoni ,Action-Adventure,4.39,"21,049",864,396,4,"August 23, 2022",367
A Team of One: An Unsanctioned Asset Thriller ,The Unsanctioned Asset Series Book,Brad Lee,Action-Adventure,4.58,"2,498",84,"2,809",29,"September 30, 2021",420
Dancing Bear,,Oren Sanderson ,Action-Adventure,3.65,84,11,293,3,"August 6, 2014",206
The Lion's Game ,John Corey,Nelson DeMille ,Action-Adventure,4.22,"37,238","1,550","1,216",15,"January 6, 2000",720
Cinder ,The Lunar Chronicles,Marissa Meyer ,Action-Adventure,4.13,"9,07,050","68,137",188,3,"January 3, 2012",390
Cold Vengeance ,Pendergast,Douglas Preston ,Action-Adventure,4.11,"25,920","1,581",203,3,"August 2, 2011",560
A Town Like Alice,,Nevil Shute,Action-Adventure,4.15,"57,477","4,364",681,10,"January 1, 1950",351
Wraith ,Nick Baron,James R. Hannibal ,Action-Adventure,4.06,102,14,293,3,"May 4, 2010",354
Best Kept Secret ,The Clifton Chronicles,Jeffrey Archer ,Action-Adventure,4.03,"47,350","2,797",395,5,"April 30, 2013",373
The Girl with the Dragon Tattoo ,Millennium,Stieg Larsson,Action-Adventure,4.17,"31,34,191","76,653","18,589",192,"August 1, 2005",480
The Great Action ,Super Indy Book,Alex Letner,Action-Adventure,4.77,69,3,293,3,"July 29, 2015",24
The Tuzla Run,,Robert  Davidson ,Action-Adventure,3.63,19,7,200,2,"January 1, 2010",354
The Breach ,Travis Chase,Patrick  Lee ,Action-Adventure,4.01,"9,441",791,"1,192",13,"December 10, 2009",372
Logan's Run,,William F. Nolan,Action-Adventure,3.65,"11,985",815,188,3,"January 1, 1967",149
The Hourglass Throne ,The Tarot Sequence,K.D. Edwards ,Action-Adventure,4.58,"4,068",677,395,4,"May 17, 2022",375
The Bourne Identity ,Jason Bourne,Robert Ludlum,Action-Adventure,4.05,"4,30,765","5,373","14,008",145,"February 4, 1980",566
The Alchemy Fire Murder: a Mary Wandwalker Mystery,,Susan  Rowland ,Action-Adventure,4.31,"5,757",20,"2,791",29,"February 15, 2023",352
The Man in the Iron Mask,,Alexandre Dumas,Action-Adventure,3.99,"65,385","1,064",676,9,"January 1, 1850",470
Riding the Devil ,Harry Bauer,Blake Banner,Action-Adventure,4.52,"2,969",39,"1,169",12,"February 13, 2023",299
In the Pines ,"Columbia River, #3; Mercy Kilpatrick",Kendra Elliot ,Action-Adventure,4.39,"13,625",446,394,4,"August 16, 2022",335
Porno ,Mark Renton,Irvine Welsh,Action-Adventure,3.83,"24,890",705,290,3,"January 1, 2002",600
Off the Grid ,Joe Pickett,C.J. Box,Action-Adventure,4.29,"18,913","1,312","2,766",29,"March 8, 2016",371
Street Raised,,Pearce Hansen ,Action-Adventure,3.81,75,13,200,2,"November 1, 2006",216
First Blood,,David Morrell ,Action-Adventure,4.04,"9,505",860,675,8,"January 1, 1972",320
The Count of Monte Cristo,,Alexandre Dumas,Action-Adventure,4.3,"9,03,121","30,882","13,386",138,"August 28, 1844",1276
The Chronicles of Narnia ,The Chronicles of Narnia,C.S. Lewis,Action-Adventure,4.27,"6,40,775","12,370",187,3,"January 1, 1956",767
The Horror at Murden Cove ,A Thomas Austin Crime Thriller,D.D. Black,Action-Adventure,4.39,"2,089",63,"1,168",12,"February 6, 2023",246
The Inmate,,Freida McFadden ,Action-Adventure,4.1,"2,68,371","21,450",394,4,"June 13, 2022",388
"Nocturne, Opus 1: Sea Foam",,Norene Moskalski ,Action-Adventure,3.76,"1,450",14,200,2,"October 30, 2012",404
River God,,Wilbur Smith,Action-Adventure,4.22,"40,176","1,843",672,8,"January 1, 1993",662
The Hunt for Red October ,Jack Ryan,Tom Clancy,Action-Adventure,4.11,"3,72,369","4,007","13,356",138,"October 28, 1984",432
Murder Board ,Boston Crime Thriller,Brian Christopher Shea ,Action-Adventure,4.17,"5,542",157,"1,167",12,"October 15, 2019",321
The Princess Bride,,William Goldman,Action-Adventure,4.27,"8,90,953","25,430","2,765",31,"September 1, 1973",429
Shadow Team GB ,Starbirth,J.M. Johnson ,Action-Adventure,4.76,98,12,668,7,"June 6, 2015",314
The Hard Way ,Jack Reacher,Lee Child ,Action-Adventure,4.19,"81,273","3,372",187,2,"May 16, 2006",384
Hawke ,Alexander Hawke,Ted Bell ,Action-Adventure,3.89,"7,561",384,289,3,"June 3, 2003",596
Blowback ,Scot Harvath,Brad Thor ,Action-Adventure,4.18,"20,346",616,"1,161",13,"June 28, 2005",655
The Return of the King ,The Lord of the Rings,J.R.R. Tolkien,Action-Adventure,4.56,"8,81,832","17,529","11,746",126,"October 20, 1955",404
Primal Fear ,Vail/Stampler,William Diehl,Action-Adventure,4.23,"9,521",457,287,4,"January 26, 1992",399
The Jester,,James Patterson ,Action-Adventure,3.81,"20,144","1,153",659,7,"March 3, 2003",548
Sutherland's Rules,,Dario Ciriello ,Action-Adventure,4.16,31,11,200,2,"February 1, 2013",208
Divergent ,Divergent,Veronica Roth ,Action-Adventure,4.15,"38,91,127","1,19,358","11,577",120,"April 25, 2011",487
The Perfect Child,,Lucinda Berry ,Action-Adventure,4.06,"1,09,868","10,575",394,4,"March 1, 2019",371
Lonesome Dove ,Lonesome Dove,Larry McMurtry,Action-Adventure,4.53,"1,85,713","11,213","2,755",31,"January 1, 1985",960
The Informers,,Bret Easton Ellis,Action-Adventure,3.39,"18,771",717,287,3,"July 26, 1994",240
The Bourne Supremacy ,Jason Bourne,Robert Ludlum,Action-Adventure,4.11,"1,78,856","1,386","1,160",14,"February 11, 1986",688
Valor's Choice ,Confederation,Tanya Huff,Action-Adventure,3.99,"8,455",547,186,2,"April 1, 2000",409
Big Trouble,,Dave Barry ,Action-Adventure,3.83,"14,906",879,393,5,"September 13, 1999",317
World Without End ,Kingsbridge,Ken Follett ,Action-Adventure,4.3,"2,45,860","13,172","2,749",30,"October 4, 2007",1237
Red Rabbit ,Jack Ryan,Tom Clancy,Action-Adventure,3.73,"31,471",924,659,10,"August 26, 2002",618
The Soul Whisperer: A Tale of Hidden Truths and Unspoken Possibilities,,J.M. Harrison ,Action-Adventure,3.97,34,22,286,3,"February 26, 2016",265
All Good People Here,,Ashley Flowers ,Action-Adventure,3.85,"1,88,971","20,422",393,4,"August 16, 2022",312
Where the Deer Dwell,,Dorothy Gravelle ,Action-Adventure,3.71,72,10,200,2,"May 7, 2012",310
Nutshell,,Ian McEwan ,Action-Adventure,3.68,"52,219","6,370",186,2,"September 1, 2016",208
A Game of Thrones ,A Song of Ice and Fire,George R.R. Martin,Action-Adventure,4.44,"24,48,531","62,576","11,216",118,"August 6, 1996",819
The Afghan,,Frederick Forsyth,Action-Adventure,3.75,"13,832",740,"1,159",13,"August 22, 2006",343
Kill Shot ,Mitch Rapp,Vince Flynn,Action-Adventure,4.31,"53,328","2,364",658,9,"February 7, 2012",385
Inferno ,Robert Langdon,Dan Brown ,Action-Adventure,3.88,"5,44,978","39,146","2,715",32,"May 14, 2013",463
Hetta Coffey Collection Boxed Set Books 1-4 ,Hetta Coffey Mystery,Jinx Schwartz ,Action-Adventure,4.49,119,6,185,2,"May 15, 2013",
The 40 Minute War,,Janet E. Morris ,Action-Adventure,3.89,197,21,286,3,"January 1, 1980",281
Occupant,,G.J. Swenson ,Action-Adventure,4.8,5,1,200,2,"May 5, 2013",
Winter of the World ,The Century Trilogy,Ken Follett ,Action-Adventure,4.37,"1,58,487","9,028",637,8,"September 18, 2012",940
Murder in the Family,,Cara Hunter ,Action-Adventure,3.81,"21,124","3,458","2,690",28,"September 19, 2023",480
The IX  ,The IX,Andrew P. Weston ,Action-Adventure,3.45,477,76,392,4,"January 26, 2015",596
Catching Fire ,The Hunger Games,Suzanne Collins,Action-Adventure,4.32,"34,69,776","1,20,711","10,924",115,"September 1, 2009",391
Hard Wired: A Crash Course in Small College Football,,Jebb A. Rebal ,Action-Adventure,3.72,65,3,200,2,"December 13, 2012",352
Tripwire  ,Jack Reacher,Lee Child ,Action-Adventure,4.11,"1,21,635","4,748",636,10,"June 28, 1999",432
Keeping Secrets,,L.A. Dobbs ,Action-Adventure,4.22,"8,091",251,"1,159",12,"May 15, 2017",264
Exodus,,Leon Uris,Action-Adventure,4.34,"98,637","2,096",286,4,"September 1, 1958",599
The Doors of Perception / Heaven and Hell,,Aldous Huxley,Action-Adventure,3.93,"46,912","1,954",185,2,"January 1, 1956",187
Black Eagle ,Jason Trapp Thriller Book,Jack     Slater ,Action-Adventure,4.51,"2,672",85,"2,685",28,"July 31, 2021",434
The Lord of the Rings,,J.R.R. Tolkien,Action-Adventure,4.52,"6,66,399","14,370","10,157",108,"October 20, 1955",1216
The Fragmented Six ,Six Chances,elmwynn,Action-Adventure,4.9,10,1,392,4,,
Hunt at the Well of Eternity ,Gabriel Hunt,Gabriel Hunt,Action-Adventure,3.35,321,57,285,3,"April 28, 2009",232
Nemesis ,The Nemesis Series,L.J. Martin ,Action-Adventure,4.2,486,36,200,2,"January 22, 2011",326
The Girl with Ghost Eyes,,M.H. Boroson,Action-Adventure,3.86,"4,284",739,631,7,"November 3, 2015",288
Captain Blood,,Rafael Sabatini,Action-Adventure,4.18,"16,414","1,104",185,2,"January 1, 1922",236
Prince Caspian ,Chronicles of Narnia,C.S. Lewis,Action-Adventure,3.98,"4,30,118","11,364",285,4,"October 15, 1951",240
The Judas Strain ,Sigma Force,James Rollins ,Action-Adventure,4.17,"32,591","1,404","2,648",29,"July 2, 2007",450
Tarzan of the Apes ,Tarzan,Edgar Rice Burroughs,Action-Adventure,3.9,"44,469","3,141","1,144",15,"October 1, 1912",323
The Three Musketeers,,Alexandre Dumas,Action-Adventure,4.09,"3,18,131","9,202","10,063",106,"January 1, 1844",625
The Inner World Adventure,,Wayne Reinagel ,Action-Adventure,3.6,10,1,200,2,"January 1, 2013",164
The Assassin's Betrayal ,Jason Drake,Auston King,Action-Adventure,4.28,"3,037",89,"2,584",27,"October 30, 2020",370
The Memoirs of Sherlock Holmes ,Sherlock Holmes,Arthur Conan Doyle,Action-Adventure,4.3,"96,459","3,034",390,5,"December 1, 1893",378
Wicked Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.18,"18,661",864,284,4,"May 12, 2009",402
The Client,,John Grisham ,Action-Adventure,4.05,"4,42,201","3,189",612,8,"March 1, 1993",483
Treasure Island,,Robert Louis Stevenson,Action-Adventure,3.84,"4,81,131","16,009","9,278",101,"January 28, 1882",352
The Man in the Brown Suit,,Agatha Christie,Action-Adventure,3.95,"1,09,553","3,609",183,2,"August 22, 1924",381
The Old Man and the Sea,,Ernest Hemingway,Action-Adventure,3.8,"11,21,008","38,243",390,5,"January 1, 1952",96
Agency Rules - Never an Easy Day at the Office,,Khalid Muhammad ,Action-Adventure,4.18,375,92,200,26,"January 1, 2014",273
Trainspotting ,Mark Renton,Irvine Welsh,Action-Adventure,4.1,"1,65,993","3,855","1,110",12,"January 1, 1993",431
The Girl in the Spider's Web ,Millennium,David Lagercrantz,Action-Adventure,3.8,"1,58,243","14,000",183,3,"January 1, 2015",400
Ghost Country ,Travis Chase,Patrick  Lee ,Action-Adventure,4.1,"6,174",433,283,3,"December 28, 2010",384
The 13th Warrior,,Michael Crichton,Action-Adventure,3.7,"41,588","2,110",609,9,"March 12, 1976",278
Shōgun ,Asian Saga,James Clavell,Action-Adventure,4.4,"1,74,677","5,770","2,465",29,"June 1, 1975",1152
The Starbirth Assignment: Shifter ,Starbirth,J.M. Johnson ,Action-Adventure,4.1,63,10,283,3,"July 5, 2016",169
Without Fail ,Jack Reacher,Lee Child ,Action-Adventure,4.16,"1,03,997","3,208","1,101",14,"May 13, 2002",14
Mockingjay ,The Hunger Games,Suzanne Collins,Action-Adventure,4.08,"31,39,891","1,26,080","8,931",95,"August 24, 2010",390
Vampire Chimeras,,L.A. Kragie ,Action-Adventure,4.38,13,6,200,2,"November 8, 2013",138
And the Ass Saw the Angel,,Nick Cave,Action-Adventure,3.85,"10,509",670,183,2,"January 1, 1989",320
Running Blind ,Jack Reacher,Lee Child ,Action-Adventure,4.12,"1,05,291","4,507",608,9,"January 1, 2000",512
The White Company ,Dover Books on Literature &,Arthur Conan Doyle,Action-Adventure,3.9,"4,404",321,387,6,"January 1, 1891",416
Tempus Unbound,,Janet E. Morris ,Action-Adventure,4.14,115,15,283,3,"November 1, 1989",238
Sunstruck,,Melissa Bellis ,Action-Adventure,4.69,32,12,"1,100",11,"June 9, 2023",319
The Rules of Attraction,,Bret Easton Ellis,Action-Adventure,3.72,"46,643","1,938",183,2,"September 1, 1987",283
Misery,,Stephen King ,Action-Adventure,4.21,"6,79,536","24,905",386,5,"June 8, 1987",370
The Cardinal of the Kremlin ,Jack Ryan,Tom Clancy,Action-Adventure,4.08,"55,786",948,"2,361",28,"July 28, 1988",547
Patriot Games ,Jack Ryan,Tom Clancy,Action-Adventure,4.16,"2,05,022","1,805","8,693",91,"August 4, 1987",794
"Deadly Pretty Strangers: One dead body, one bereaved mother, one small favour ...",,Max Thorn,Action-Adventure,4.31,39,15,600,6,"November 12, 2017",314
Echo Burning ,Jack Reacher,Lee Child ,Action-Adventure,4.04,"91,687","3,774",384,5,"June 25, 2001",572
Phantom Wolf ,Phantom Wolf,Kia Carrington-Russell ,Action-Adventure,3.55,"2,170",47,200,2,"June 16, 2014",191
The Blade Artist ,Mark Renton,Irvine Welsh,Action-Adventure,3.82,"7,149",464,183,2,"April 7, 2016",448
A Scanner Darkly,,Philip K. Dick,Action-Adventure,4.02,"1,00,929","4,090",283,3,"January 1, 1977",219
Worst Case ,Michael Bennett,James Patterson ,Action-Adventure,4.07,"29,624","1,583",382,5,"February 1, 2010",356
Ivanhoe,,Walter Scott,Action-Adventure,3.76,"94,234","3,028","2,314",26,"December 1, 1819",496
The Wasp Factory,,Iain Banks,Action-Adventure,3.78,"95,470","6,159","1,094",13,"January 1, 1984",184
Proportionate Response,,Dave Buschi ,Action-Adventure,4.08,444,27,600,6,"February 10, 2012",515
The Rook ,The Checquy Files,Daniel O'Malley,Action-Adventure,4.1,"58,096","7,543",182,2,"January 11, 2012",504
The Lost World ,Jurassic Park,Michael Crichton,Action-Adventure,3.84,"1,52,097","5,673","7,663",81,"September 17, 1995",448
The Vanished Man ,Lincoln Rhyme,Jeffery Deaver ,Action-Adventure,4.1,"22,709","1,012",381,6,"March 11, 2003",560
Redwall ,Redwall,Brian Jacques,Action-Adventure,4.13,"1,17,860","5,043",282,4,"January 1, 1986",416
The Genetic Lottery ,Egalia,Allison Goh ,Action-Adventure,3.65,52,11,200,2,"July 1, 2014",274
Never Lie,,Freida McFadden ,Action-Adventure,4.13,"3,38,297","26,132","2,308",24,"September 19, 2022",286
Thicker than Blood,,Don Brobst ,Action-Adventure,4.49,93,16,600,6,"February 27, 2020",293
Harry Potter and the Sorcerer's Stone ,Harry Potter,J.K. Rowling,Action-Adventure,4.47,"98,02,237","1,57,515","7,558",83,"June 26, 1997",309
Requiem for a Dream,,Hubert Selby Jr.,Action-Adventure,4.1,"59,946","1,749","1,092",12,"January 1, 1978",279
The Goldfinch,,Donna Tartt,Action-Adventure,3.94,"9,08,069","75,127",282,4,"September 23, 2013",864
The Running Man,,Richard Bachman ,Action-Adventure,3.89,"1,30,250","5,102",182,3,"May 1, 1982",317
Unwind ,Unwind,Neal Shusterman ,Action-Adventure,4.17,"2,25,858","21,771",379,5,"November 6, 2007",337
The Firm,,Robin Waterfield ,Action-Adventure,4.06,"6,20,023","3,725",599,9,"February 1, 1991",76
Bridges: An Extraordinary Journey of the Heart,,W.S. Williamson,Action-Adventure,3.73,15,1,200,2,"April 11, 2014",216
The Last Sentinel ,Clayton White,Simon Gervais ,Action-Adventure,4.32,"3,516",114,"2,304",24,"August 9, 2022",281
Counter Identity ,Remmich/Miller,Karl Braungart ,Action-Adventure,4.31,"3,872",13,"7,557",79,"October 1, 2021",260
The Burning Bridge ,Ranger's Apprentice,John Flanagan,Action-Adventure,4.31,"1,23,582","4,144",281,3,"May 2, 2005",262
The Andromeda Strain ,Andromeda,Michael Crichton,Action-Adventure,3.91,"2,53,178","5,619","1,089",14,"September 1, 1969",327
The Last Refuge ,Dewey Andreas,Ben Coes ,Action-Adventure,4.3,"8,767",368,181,2,"July 3, 2012",416
Tijuana Nights ,Nights Series,Leigh K. Hunt ,Action-Adventure,4.35,48,28,200,2,"July 26, 2014",
Arctic Drift ,Dirk Pitt,Clive Cussler,Action-Adventure,3.95,"14,672",718,376,6,"November 25, 2008",515
The Water Knife,,Paolo Bacigalupi ,Action-Adventure,3.85,"25,666","3,385",181,2,"May 26, 2015",371
Pursuit of Honor ,Mitch Rapp,Vince Flynn,Action-Adventure,4.35,"43,242","1,144",595,8,"October 13, 2009",431
White Fang,,Jack London,Action-Adventure,4.02,"1,87,146","6,184","2,301",28,"May 1, 1906",252
And Then There Were None,,Agatha Christie,Action-Adventure,4.28,"13,13,523","61,768","7,366",79,"November 6, 1939",264
Storm Front  ,Virgil Flowers,John Sandford,Action-Adventure,3.98,"18,193","1,424",374,5,"January 1, 2013",376
The Runaway Jury,,John Grisham ,Action-Adventure,4.02,"3,02,104","2,674",281,5,"January 1, 1996",464
The Adventures of Armstrong Dent: The Complete First Season,,Aeyess ,Action-Adventure,4.44,27,8,594,6,"December 19, 2014",310
Around the World in Eighty Days,,Jules Verne,Action-Adventure,3.94,"2,43,089","10,789","1,074",15,"November 6, 1872",252
Beneath Creek Waters,,Jason L. Bradshaw ,Action-Adventure,4.55,20,9,200,2,"January 1, 2009",270
The Lost Scrolls ,Twisted Roots,Shelly Goodman Wright ,Action-Adventure,4.19,16,3,200,2,"November 11, 2014",360
The House of Hades ,The Heroes of Olympus,Rick Riordan ,Action-Adventure,4.56,"3,95,568","21,123",180,2,"October 8, 2013",597
Dune ,Dune,Frank Herbert,Action-Adventure,4.26,"12,95,923","58,116","7,333",79,"June 1, 1965",658
Fight Club,,Chuck Palahniuk ,Action-Adventure,4.19,"5,82,703","20,966","2,260",25,"August 17, 1996",224
Brainrush ,Brainrush,Richard Bard,Action-Adventure,3.88,"5,474",516,280,3,"March 23, 2010",312
61 Hours ,Jack Reacher,Lee Child ,Action-Adventure,4.12,"88,450","4,747",373,5,"March 18, 2010",383
Master & Commander ,Aubrey & Maturin,Patrick O'Brian,Action-Adventure,4.07,"57,022","4,093",591,9,"January 1, 1969",464
Veterans of the Psychic Wars,,Wayne Gerard Trotman ,Action-Adventure,3.76,82,19,200,2,"December 21, 2010",424
A Clockwork Orange,,Anthony Burgess,Action-Adventure,4,"7,03,018","20,052","2,256",26,"January 1, 1962",192
Deception Point,,Dan Brown ,Action-Adventure,3.75,"6,65,168","10,979","7,223",77,"January 1, 2001",556
Ice Hunt,,James Rollins ,Action-Adventure,4.06,"18,745",654,"1,069",13,"July 1, 2003",509
Words of Radiance ,The Stormlight Archive,Brandon Sanderson ,Action-Adventure,4.76,"3,33,167","20,215",179,2,"March 4, 2014",1087
The Ark ,Tyler Locke,Boyd Morrison,Action-Adventure,3.84,"5,921",520,590,7,"January 30, 2009",464
Naked Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.25,"20,694",676,279,4,"May 12, 2003",455
Dividers,,Travis Adams Irish,Action-Adventure,3.7,105,32,200,2,"September 30, 2014",608
"Tinker, Tailor, Soldier, Spy",,John le Carré,Action-Adventure,4.06,"93,180","5,312",372,5,"April 1, 1974",379
"The Lion, the Witch and the Wardrobe ",Chronicles of Narnia,C.S. Lewis,Action-Adventure,4.23,"27,38,724","32,116",581,8,"October 16, 1950",206
Lost Identity,,Karl Braungart ,Action-Adventure,4.29,"6,523",20,"2,253",23,"August 31, 2021",258
The Dentist ,DS Cross Mysteries,Tim  Sullivan ,Action-Adventure,4.22,"6,953",408,"1,068",11,"June 10, 2020",360
The Way of Kings ,The Stormlight Archive,Brandon Sanderson ,Action-Adventure,4.66,"4,71,619","33,341",179,2,"August 31, 2010",1007
A Superior Death ,Anna Pigeon,Nevada Barr,Action-Adventure,3.91,"11,562",772,279,4,"January 1, 1994",310
Hades' Disciples ,The Legacy of the Gods,Michael  West ,Action-Adventure,3.88,88,11,371,4,"May 1, 2014",301
The Sum of All Fears ,Jack Ryan,Tom Clancy,Action-Adventure,4.06,"62,023",934,"7,180",78,"August 14, 1991",914
Greegs & Ladders,,Zack Mitchell,Action-Adventure,3.05,272,13,200,2,"June 22, 2013",256
The Time Machine,,H.G. Wells,Action-Adventure,3.89,"5,11,493","15,809","2,244",28,"January 1, 1895",118
Personal ,Jack Reacher,Lee Child ,Action-Adventure,3.98,"73,519","4,482",577,9,"September 2, 2014",353
Richter 10,,Arthur C. Clarke,Action-Adventure,3.54,956,59,178,2,"January 1, 1996",448
The Warrior Heir ,The Heir Chronicles,Cinda Williams Chima ,Action-Adventure,3.94,"52,332","3,461",277,4,"March 28, 2006",426
Dead End Girl ,Violet Darger,L.T. Vargus ,Action-Adventure,4.19,"21,666","1,103",568,6,"April 12, 2017",495
The Two Towers ,The Lord of the Rings,J.R.R. Tolkien,Action-Adventure,4.48,"9,43,737","18,452","7,112",79,"November 11, 1954",322
Lunar Park,,Bret Easton Ellis,Action-Adventure,3.64,"28,570","1,269","1,059",12,"August 16, 2005",404
Burned Out,,Dean Mafako ,Action-Adventure,4.3,"6,076",54,"2,234",23,"January 16, 2023",
Blasphemy ,Wyman Ford,Douglas Preston ,Action-Adventure,3.72,"10,715",834,370,4,"January 8, 2008",381
To Russia With Love ,Countermeasure,Chris Almeida ,Action-Adventure,4.59,116,39,200,2,"July 20, 2012",510
Girl Missing ,Kaitlyn Carr,Kate Gable ,Action-Adventure,3.93,"9,812",380,"1,058",11,"June 7, 2021",330
The Pillars of the Earth ,Kingsbridge,Ken Follett ,Action-Adventure,4.34,"7,53,482","36,899","7,080",75,"October 1, 1989",976
Atlantis Found ,Dirk Pitt,Clive Cussler,Action-Adventure,4.01,"27,685",884,562,9,"October 26, 1999",530
Caitlin Star and the Rise of the Barbarians ,Caitlin Star,James J. Caterino ,Action-Adventure,4.78,41,14,200,2,"April 24, 2015",210
Never Fade ,The Darkest Minds,Alexandra Bracken ,Action-Adventure,4.21,"96,373","7,692",178,2,"October 15, 2013",507
Survivor,,Chuck Palahniuk ,Action-Adventure,3.93,"1,17,437","4,176",276,3,"February 17, 1999",304
Pirate Latitudes,,Michael Crichton,Action-Adventure,3.48,"48,654","4,836","1,049",12,"November 24, 2009",312
The Immortal Coil ,The Immortal Coil,J. Armand,Action-Adventure,3.49,239,12,200,2,"May 1, 2014",392
Term Limits,,Vince Flynn,Action-Adventure,4.33,"36,026","1,447",560,8,"December 31, 1997",612
Hidden Pictures,,Jason Rekulak ,Action-Adventure,4.14,"2,04,732","23,304","2,221",23,"May 10, 2022",372
For Whom the Bell Tolls,,Ernest Hemingway,Action-Adventure,3.98,"2,89,741","8,744",370,6,"October 1, 1940",471
Ice Station ,Shane Schofield,Matthew Reilly,Action-Adventure,4.12,"32,574","1,499","6,365",65,"August 1, 1998",513
Kisscut ,Grant County,Karin Slaughter ,Action-Adventure,4.08,"53,828","2,756","1,038",11,"January 1, 2002",436
